Epoch,Train Loss,Test Loss,Test Accuracy,Test F1 Score
1,0.15333064070500638,0.15541820233823994,0.959319299323909,"[0.95394179 0.97059404 0.9712023  0.94474949 0.96990099 0.95450716
 0.95209581 0.9633325  0.9408867  0.93809223]"
2,0.1431925084990165,0.15584738908728243,0.9597418561770129,"[0.95556185 0.97022113 0.9726539  0.94435668 0.97205154 0.95832461
 0.9549324  0.96124414 0.94352363 0.92859351]"
3,0.14343220253411584,0.15844224556163183,0.9585894283958205,"[0.95541039 0.96864044 0.97353224 0.93566014 0.97346898 0.95755016
 0.95548811 0.95970334 0.94298643 0.92874845]"
4,0.14477652737386368,0.16799291666452879,0.9568992009834051,"[0.95396781 0.96899981 0.9759844  0.93096717 0.97221119 0.95739769
 0.9563462  0.95735554 0.94379321 0.9095224 ]"
5,0.13969333672605838,0.162968041916786,0.9575522433927474,"[0.95243425 0.96666021 0.97272397 0.9319797  0.97282174 0.95264744
 0.95687675 0.95460309 0.94787587 0.93966059]"
6,0.14156936508399312,0.17121059120676785,0.9536339889366933,"[0.95464853 0.96027219 0.96758875 0.9371268  0.9666274  0.95364517
 0.95031211 0.9527771  0.94247246 0.92064476]"
7,0.1410297634657506,0.16610449015494314,0.9573985863552551,"[0.9481398  0.96608489 0.9750303  0.94334327 0.96470588 0.95774648
 0.95514113 0.96027464 0.94579215 0.92024169]"
8,0.1402777225746951,0.16866532821018196,0.9559772587584512,"[0.95365368 0.96362005 0.97274583 0.936682   0.96957724 0.95503483
 0.95558344 0.95778105 0.9443447  0.91684179]"
9,0.14095448551654186,0.18950878187427875,0.9499462200368777,"[0.9383467  0.96507244 0.97042849 0.92421834 0.96865642 0.95183291
 0.9436409  0.95734597 0.93531734 0.89325513]"
10,0.14087042840288988,0.16705332399353376,0.9552473878303627,"[0.94967669 0.96481227 0.96307692 0.9455818  0.97076954 0.95683302
 0.94776306 0.95489659 0.93840916 0.92718601]"
11,0.14304180991414162,0.1635682554600718,0.9576290719114936,"[0.95686947 0.96740419 0.96842607 0.94214298 0.9710752  0.95742427
 0.95347674 0.95738355 0.93873874 0.93151534]"
12,0.1395058588249387,0.16719471481665923,0.9571681007990166,"[0.95307918 0.96274189 0.97434656 0.94444444 0.97250996 0.95890411
 0.9563871  0.94585579 0.93205016 0.93736501]"
13,0.14084636581620275,0.16857707179904205,0.9556699446834666,"[0.94769579 0.96690959 0.97322075 0.9364282  0.97006696 0.95411292
 0.95403473 0.95698113 0.94121231 0.91438871]"
14,0.14284673387051175,0.1619527381584369,0.9580516287645974,"[0.95568182 0.96807677 0.97376023 0.94219858 0.97057081 0.95883471
 0.95413306 0.95742574 0.94269078 0.91759734]"
15,0.14159985756892635,0.16315097667015838,0.9591656422864168,"[0.96130696 0.9692639  0.97554512 0.93881181 0.9701404  0.95808885
 0.96087957 0.95930949 0.94654183 0.91471471]"
16,0.14129722451297824,0.16213354440182723,0.9571681007990166,"[0.95592048 0.96681632 0.97358216 0.9341072  0.97266244 0.95419847
 0.95137314 0.95754246 0.93925378 0.93276021]"
17,0.14020588094041367,0.16529079602679814,0.9560925015365703,"[0.9560753  0.96594005 0.97382073 0.93761946 0.9689614  0.95023003
 0.953125   0.95544304 0.93888889 0.92298289]"
18,0.14018555955343567,0.1634938850215812,0.955900430239705,"[0.95075434 0.96633392 0.97076164 0.93758717 0.97281207 0.95256087
 0.95076923 0.95723115 0.94103269 0.92128637]"
19,0.1421437550076318,0.16887549993930673,0.9550937307928703,"[0.9515493  0.95952024 0.97083183 0.9447533  0.96764009 0.95911414
 0.95049007 0.94944632 0.94214876 0.92387968]"
20,0.1425241431263599,0.16798455859623168,0.9570528580208973,"[0.95789172 0.96672919 0.97213548 0.93912123 0.97213376 0.95581152
 0.95465995 0.96069652 0.93290171 0.92095588]"
21,0.14375296813865593,0.16977062191958434,0.9556699446834666,"[0.95979173 0.96585947 0.96666667 0.94009056 0.9719849  0.95026015
 0.95526182 0.95296125 0.9377312  0.9235474 ]"
22,0.14297999564747388,0.17450526120861248,0.9537876459741856,"[0.95419188 0.96061575 0.97004107 0.92907195 0.96470588 0.9551797
 0.95575666 0.95840512 0.93738602 0.92512883]"
23,0.14124152214744665,0.17011027709428123,0.954940073755378,"[0.95687177 0.96737841 0.96823105 0.93823734 0.96932271 0.9544496
 0.95238095 0.95715726 0.92276657 0.92358804]"
24,0.14010533551666354,0.17306221744071945,0.9550553165334973,"[0.95751354 0.96666667 0.96949396 0.94231787 0.96790707 0.95322751
 0.93696763 0.95517928 0.93353941 0.92775194]"
25,0.14242172382397392,0.17672530506848005,0.9542870313460357,"[0.94754558 0.96528317 0.97470202 0.93515237 0.96998609 0.95766858
 0.95116989 0.95688801 0.93674792 0.89940828]"
26,0.14320464873719257,0.192848669975245,0.9500230485556238,"[0.9426894  0.964466   0.97378641 0.92368186 0.96856347 0.95153995
 0.94683799 0.95824067 0.92523364 0.89069767]"
27,0.140538112055657,0.1690554114890908,0.9558620159803319,"[0.94992928 0.96584591 0.97368737 0.93569531 0.97003374 0.95363409
 0.95294996 0.96025515 0.94279596 0.91393939]"
28,0.14246142959046987,0.17603201900174373,0.9549016594960049,"[0.95377548 0.9657772  0.97200772 0.93559678 0.96922148 0.95300042
 0.94576687 0.9612711  0.93059279 0.92275068]"
29,0.1418070231756196,0.1721313122588942,0.9545943454210203,"[0.94517117 0.96779277 0.97382836 0.93486991 0.96781836 0.95497781
 0.94556301 0.95854795 0.9323732  0.91722459]"
30,0.14268391181632695,0.16055035614136653,0.9584741856177013,"[0.9598163  0.96824469 0.97259615 0.94032994 0.97078563 0.95747832
 0.95771778 0.95975855 0.94242424 0.92032717]"
31,0.1410166092730272,0.16721658653750804,0.9554778733866011,"[0.95085714 0.96786278 0.97352441 0.93024055 0.97058824 0.95009319
 0.94998756 0.96287129 0.93274392 0.92589204]"
32,0.13992384082586887,0.18437724151106502,0.9511370620774432,"[0.92725299 0.96359533 0.96686067 0.93705036 0.96752205 0.95385276
 0.94694085 0.96080402 0.93821236 0.90090634]"
33,0.13887911131077785,0.16888680336304288,0.9548632452366318,"[0.95858674 0.96494355 0.97096929 0.93352044 0.97081168 0.94675782
 0.95314458 0.95886313 0.93823441 0.91822008]"
34,0.14134995915401574,0.16698503101813553,0.9577059004302397,"[0.9560753  0.96666992 0.97487316 0.93997856 0.97220016 0.95863233
 0.95617128 0.95628684 0.94149578 0.91533594]"
35,0.14299699382454933,0.16481287145017479,0.9582052858020897,"[0.95701679 0.96601661 0.9713253  0.94187884 0.9756     0.95856237
 0.95625943 0.95372946 0.94339623 0.92520776]"
36,0.14166166619850984,0.16455963619062522,0.9576674861708666,"[0.96105384 0.96698952 0.97398844 0.94279661 0.97197376 0.95685279
 0.94883259 0.95226438 0.94145902 0.92298326]"
37,0.1410813054110889,0.16171566995013031,0.9574754148740012,"[0.95778665 0.9701977  0.97057057 0.94014085 0.9709942  0.95442018
 0.94849465 0.96       0.94067797 0.92298289]"
38,0.14216019742084354,0.1675872047235428,0.9562077443146896,"[0.95025154 0.96726629 0.97389003 0.93013768 0.96900296 0.95231903
 0.95350026 0.96070088 0.94727161 0.9226063 ]"
39,0.14068880043948773,0.1676393100109178,0.9563229870928088,"[0.95028249 0.96821516 0.97472661 0.93561931 0.96923993 0.95757834
 0.95159268 0.95975855 0.93888556 0.91390728]"
40,0.14081778926011693,0.1637681657786137,0.9585125998770744,"[0.95709008 0.9696138  0.97157251 0.93346808 0.9720112  0.95689287
 0.9564326  0.9572004  0.94704808 0.93449239]"
41,0.14301497166382912,0.16419914087535928,0.9578979717271051,"[0.9551481  0.966947   0.9700096  0.94318578 0.97256159 0.96016949
 0.95533687 0.95201828 0.94366617 0.9264389 ]"
42,0.14114059782693592,0.16587380222522854,0.9582437000614629,"[0.96009254 0.96554394 0.97005271 0.94788388 0.97189232 0.96261682
 0.95490048 0.94685743 0.94405806 0.9257213 ]"
43,0.14160719521683707,0.1685218689877359,0.9566303011677935,"[0.95553022 0.96840862 0.97440232 0.93303183 0.97290837 0.96008493
 0.94752475 0.95680238 0.93748075 0.9183489 ]"
44,0.1400642466678623,0.16609755650932026,0.9565918869084205,"[0.95389869 0.96590132 0.97091831 0.93877551 0.97098259 0.96061316
 0.95130522 0.96060226 0.94007829 0.91633947]"
45,0.14119134354739776,0.17461544890746647,0.9541333743085433,"[0.95300484 0.96675792 0.97310395 0.93535174 0.96986629 0.95396959
 0.94373149 0.95671867 0.93502569 0.90693539]"
46,0.14115071189210376,0.17276333396328178,0.9551321450522434,"[0.94515235 0.96579281 0.96990128 0.94468987 0.96951464 0.9552492
 0.94275759 0.95462266 0.93927126 0.92162417]"
47,0.14228270085579117,0.1655568350747585,0.9574754148740012,"[0.95407157 0.96653985 0.97403695 0.9391821  0.97105472 0.95842263
 0.95572983 0.95727769 0.94483389 0.91583105]"
48,0.14207595399558737,0.17369972135283204,0.9545943454210203,"[0.95157658 0.96733177 0.96986567 0.92783852 0.97101739 0.95184255
 0.94896907 0.95554446 0.93896714 0.9273743 ]"
49,0.14097334850222873,0.16037457246509665,0.9590503995082975,"[0.95930736 0.96573751 0.97221211 0.94461052 0.96798271 0.96567797
 0.95680727 0.95516473 0.93961353 0.93291925]"
50,0.1414476966283421,0.1759744907163207,0.9554010448678549,"[0.95240777 0.96765924 0.97280967 0.93429883 0.97040253 0.95720339
 0.95131086 0.95770467 0.94404946 0.90217068]"
51,0.14258901519238357,0.16875984754640044,0.9558620159803319,"[0.94156743 0.96478943 0.9712023  0.9397674  0.96766515 0.95751912
 0.95484526 0.95579692 0.94315789 0.92663379]"
52,0.14318058119291027,0.16594160374966074,0.9562845728334358,"[0.95556838 0.96276288 0.97158883 0.94019471 0.96845426 0.96
 0.95678699 0.94804552 0.94207784 0.92594859]"
53,0.13650770163058304,0.1690872299216445,0.9567455439459127,"[0.95791583 0.96608687 0.97226242 0.93825408 0.97195513 0.95367847
 0.94978976 0.95953465 0.9407875  0.92128637]"
54,0.14049952091176224,0.16342475452788344,0.9569376152427781,"[0.95289752 0.96732411 0.97072937 0.94439603 0.96986519 0.95333752
 0.94668008 0.95691158 0.94200675 0.9280397 ]"
55,0.14304235293664497,0.17455401234489024,0.9551321450522434,"[0.94683828 0.96477284 0.97301875 0.93527738 0.96597575 0.95652174
 0.95190128 0.96043521 0.94577942 0.91113133]"
56,0.1422825821383455,0.1674436333176543,0.9554778733866011,"[0.94636338 0.96771661 0.97459473 0.93632959 0.97068794 0.95439331
 0.94388133 0.95832306 0.9376727  0.91877092]"
57,0.1405711101145921,0.16528037231880313,0.9564382298709281,"[0.95550485 0.96929134 0.96808892 0.94152766 0.97099722 0.95283806
 0.94875622 0.95682211 0.93445169 0.92666252]"
58,0.14081492346175103,0.16349056845996815,0.9584741856177013,"[0.95365368 0.96923981 0.97305749 0.94197359 0.97085068 0.95901986
 0.95599393 0.95791583 0.94388838 0.92028316]"
59,0.1435862831352452,0.16371828516499903,0.9584357713583282,"[0.94780677 0.96932275 0.97498178 0.94154598 0.97245179 0.95889244
 0.9493988  0.96170002 0.94435905 0.92217054]"
60,0.14157624585332515,0.17388230519393286,0.9560925015365703,"[0.95620023 0.96960726 0.97055642 0.93362115 0.97158864 0.94924384
 0.95273818 0.96314618 0.9395933  0.91483599]"
61,0.14192844826135118,0.1681969452296746,0.9552858020897357,"[0.9524618  0.96819927 0.97292724 0.93507872 0.96733871 0.94923013
 0.94867962 0.96103251 0.9385808  0.91745355]"
62,0.14325876005954719,0.16834512273720897,0.9561693300553166,"[0.95300484 0.96840458 0.97392991 0.93622269 0.97031689 0.95593506
 0.9500998  0.96072054 0.93705463 0.91195159]"
63,0.14233877373710824,0.16593493718697422,0.9559388444990781,"[0.94810659 0.96498669 0.96883241 0.93714483 0.97027728 0.9550609
 0.95303726 0.95352324 0.94879518 0.92928661]"
64,0.13919450467304453,0.16792011327386708,0.956860786724032,"[0.94427502 0.96761453 0.96702254 0.94567474 0.97122445 0.95704467
 0.95125628 0.95595596 0.94314381 0.92940804]"
65,0.14153502227931916,0.16883226440327623,0.9550553165334973,"[0.9581771  0.9658027  0.97411708 0.92001987 0.96978076 0.94346213
 0.95286624 0.958727   0.94330519 0.9381953 ]"
66,0.1391219163310533,0.16596366367895288,0.9571296865396435,"[0.95580268 0.96633161 0.9726326  0.94012511 0.96933729 0.95414756
 0.95178302 0.9513382  0.94242424 0.93337484]"
67,0.13765045681372012,0.17023581739105215,0.9544406883835279,"[0.95022883 0.96374502 0.97199183 0.93227641 0.96904334 0.95465092
 0.94768311 0.9538611  0.94542091 0.92049954]"
68,0.14369549020473524,0.15845116582763802,0.957821143208359,"[0.95387244 0.96718889 0.97085523 0.94166236 0.97223324 0.95790142
 0.94784353 0.95728204 0.94308446 0.93295739]"
69,0.1420036668817383,0.16795067838779534,0.9573985863552551,"[0.95378509 0.96595745 0.97376731 0.94160968 0.96989161 0.9573701
 0.95       0.95787362 0.94518879 0.92251595]"
70,0.14212544671567184,0.15978696727386796,0.9589351567301783,"[0.95399379 0.96652025 0.9751846  0.94033992 0.97142857 0.95961091
 0.95572983 0.95702438 0.94583964 0.93166565]"
