Epoch,Train Loss,Test Loss,Test Accuracy,Test F1 Score
1,0.14546981482291518,0.15237096313801585,0.959818684695759,"[0.95701679 0.96976221 0.97473532 0.94183602 0.97290837 0.95631891
 0.95569462 0.96472926 0.9460859  0.92298289]"
2,0.13704090808771513,0.1582473220639091,0.957859557467732,"[0.95469989 0.96784407 0.971715   0.94020979 0.97118042 0.95401568
 0.95514113 0.9636273  0.94403893 0.92081932]"
3,0.1381190515783994,0.1528344931746086,0.958819913952059,"[0.95551148 0.96629651 0.97214518 0.94177127 0.97330677 0.95528714
 0.95874462 0.96081857 0.94628225 0.92795567]"
4,0.13831592457143974,0.14664583171465387,0.9607022126613399,"[0.95848841 0.96951279 0.97379178 0.94413602 0.97388878 0.95644856
 0.95764646 0.9622454  0.94923547 0.93077158]"
5,0.1376669445648493,0.1502447472478835,0.9596650276582668,"[0.9565466  0.96812048 0.97458643 0.94183799 0.9741345  0.95716709
 0.95724346 0.9633142  0.94520133 0.92406221]"
6,0.13749537610245474,0.14809760635864097,0.9609711124769514,"[0.95890411 0.96904785 0.97662087 0.94367177 0.9735218  0.95961091
 0.95892495 0.96161417 0.94344164 0.93074792]"
7,0.13727798951923198,0.15240756844954031,0.9604333128457283,"[0.95977175 0.96838178 0.97289518 0.94498607 0.97301587 0.9564108
 0.95630462 0.96546547 0.94230769 0.93511332]"
8,0.13714867705545855,0.15260525251559562,0.9592424708051629,"[0.95897436 0.96699638 0.97419199 0.94299246 0.96739984 0.95964505
 0.95432992 0.96318408 0.94571252 0.92690418]"
9,0.14006285068764768,0.15186255016737946,0.9597034419176398,"[0.95662036 0.96840442 0.97456814 0.94154489 0.97285429 0.95360607
 0.954      0.96335079 0.94727328 0.93370336]"
10,0.1360579898886862,0.15436011690190765,0.9582821143208359,"[0.95388967 0.96749409 0.97168906 0.94256874 0.97015519 0.95505381
 0.95560572 0.95966135 0.95062864 0.92345377]"
11,0.13741823973301134,0.1478517722629226,0.9603564843269822,"[0.95432624 0.96907015 0.97466074 0.9457633  0.97216103 0.95701405
 0.95757264 0.96181682 0.9458308  0.93165025]"
12,0.137942863895777,0.1543032381621767,0.9596266133988937,"[0.95699231 0.96823529 0.97362399 0.94346167 0.97189556 0.95557917
 0.9559339  0.96091611 0.94705174 0.93089557]"
13,0.13523698228378692,0.15135589120171153,0.9604333128457283,"[0.95649669 0.96814786 0.97512077 0.94397225 0.9732196  0.95742427
 0.95945606 0.96316575 0.94184313 0.93398533]"
14,0.13547395871563436,0.15651918204012427,0.9593577135832821,"[0.94966063 0.96718242 0.97281112 0.94635004 0.97134954 0.95692568
 0.95573441 0.96369474 0.94899818 0.9278861 ]"
15,0.13906126987060755,0.15297532814297854,0.9587430854333129,"[0.9520316  0.96685893 0.97379277 0.9414838  0.97213376 0.95540597
 0.95283254 0.96601699 0.94174757 0.93238213]"
16,0.13540061965698869,0.15135297235547945,0.959818684695759,"[0.95714286 0.96916903 0.97297297 0.94418685 0.97244409 0.95618886
 0.95112875 0.96329588 0.94331485 0.93649815]"
17,0.13756970318948183,0.15583303984719402,0.9597034419176398,"[0.95927086 0.96856697 0.97112043 0.94472894 0.97101739 0.95832452
 0.9602431  0.96259599 0.94419576 0.92517007]"
18,0.13721084604947884,0.15137840242805697,0.9606253841425937,"[0.95590327 0.97026205 0.97608118 0.9412382  0.97267106 0.9576753
 0.95961392 0.96563659 0.94848485 0.92409639]"
19,0.1366373330268445,0.15101373347224234,0.9598570989551322,"[0.95724059 0.96750268 0.97429121 0.94413903 0.9742268  0.95890411
 0.9539309  0.96220275 0.94526761 0.92732291]"
20,0.1355197264116324,0.15601535441414593,0.9587046711739398,"[0.95491919 0.96698762 0.9720523  0.94326991 0.970164   0.957663
 0.95131086 0.96301849 0.94791036 0.92804428]"
21,0.13804266608045587,0.1547984486215673,0.9589351567301783,"[0.95541039 0.96874386 0.97569194 0.94115587 0.97188119 0.95476956
 0.95043587 0.95992132 0.94701583 0.92778458]"
22,0.13684872479686422,0.15494878731608464,0.9581668715427166,"[0.95232722 0.96626128 0.97238635 0.93985869 0.96932515 0.95683453
 0.95731707 0.95908184 0.94424242 0.93383271]"
23,0.13829519231840773,0.15194487498446924,0.9603948985863553,"[0.95795455 0.97110849 0.97531013 0.94339623 0.97276883 0.95621053
 0.95419274 0.96628656 0.94382698 0.92534562]"
24,0.13681703211378177,0.15457115543533412,0.9582437000614629,"[0.95399379 0.96732927 0.96929143 0.944483   0.97195146 0.95939086
 0.95436309 0.96135627 0.94150591 0.92510743]"
25,0.13777355584141088,0.1551013881250181,0.957821143208359,"[0.94869638 0.96618642 0.97290104 0.93880365 0.97146254 0.95782488
 0.95462611 0.96114314 0.94503492 0.92902833]"
26,0.13411468511365515,0.15546775720532716,0.9600107559926244,"[0.95909091 0.96825088 0.97496069 0.94248412 0.97319833 0.95714286
 0.95544928 0.96023857 0.94746432 0.92931776]"
27,0.1365363343416939,0.15770930877457973,0.9595497848801475,"[0.95934035 0.96885406 0.97454458 0.94391196 0.97184774 0.95626453
 0.95280899 0.96051651 0.94607549 0.92623202]"
28,0.14034852862882075,0.15588514918957155,0.9589351567301783,"[0.94828068 0.96776714 0.97605445 0.94528236 0.97075099 0.95906183
 0.94981273 0.95846645 0.94353595 0.93210445]"
29,0.13488375358002305,0.15607736464395214,0.9580900430239705,"[0.95295468 0.96669951 0.97212585 0.94600281 0.96852108 0.95677841
 0.95418881 0.96129032 0.94195093 0.92487685]"
30,0.13568392535283208,0.1520987550448111,0.9608174554394592,"[0.95951417 0.96954215 0.97474747 0.94619924 0.97072785 0.9574963
 0.95636822 0.96355467 0.94278903 0.93514515]"
31,0.13512175443512328,0.15824617043403152,0.9589735709895513,"[0.95083799 0.96784912 0.97533983 0.94508976 0.97363726 0.95714892
 0.95228579 0.95971979 0.94611145 0.92231507]"
32,0.1344557350791607,0.15489893152934317,0.9598570989551322,"[0.94985915 0.96754009 0.97253674 0.94930556 0.97009569 0.95988176
 0.95553881 0.95991984 0.94727217 0.93474208]"
33,0.13516434407578198,0.15278884480445754,0.959818684695759,"[0.9546621  0.96931072 0.97466828 0.94099271 0.97003374 0.95570698
 0.95546559 0.96364086 0.94920349 0.93259464]"
34,0.13443823904744912,0.16118172163712738,0.9582052858020897,"[0.95506257 0.96638076 0.97298601 0.94148472 0.9689243  0.95894491
 0.95763994 0.96217023 0.94267894 0.92279855]"
35,0.13670076502801762,0.15044907667773152,0.9614320835894284,"[0.95784342 0.97093649 0.9739214  0.9472028  0.97328549 0.95734003
 0.95660898 0.96274218 0.94966237 0.93226601]"
36,0.13519521189079398,0.15112399625847805,0.9604333128457283,"[0.95531674 0.96897093 0.9734748  0.94497483 0.97189232 0.95591054
 0.95878635 0.96418869 0.94628225 0.93370336]"
37,0.13601527424468654,0.15882997941992805,0.959319299323909,"[0.94754464 0.96943922 0.9731286  0.94486525 0.97230524 0.95409351
 0.95778894 0.96463023 0.94768673 0.92560976]"
38,0.13683516369038198,0.15583652086652125,0.9592424708051629,"[0.95094982 0.96818674 0.97406963 0.94333043 0.97248804 0.95588235
 0.95454545 0.95901433 0.94669897 0.93374233]"
39,0.13650289931017834,0.15454028778982515,0.9587814996926859,"[0.95580268 0.96836125 0.97381183 0.94436669 0.96836314 0.95837735
 0.95431727 0.96005954 0.94150077 0.92626447]"
40,0.13652487427412408,0.1487209238318043,0.9606637984019668,"[0.95777841 0.96873779 0.97563341 0.94723969 0.97100874 0.95661421
 0.95451118 0.96035459 0.94969697 0.93288177]"
41,0.13481888385641097,0.1523098926476049,0.9595113706207744,"[0.95383744 0.9687043  0.97493372 0.94474846 0.97104054 0.95685441
 0.9556004  0.96232028 0.94421116 0.92627715]"
42,0.1352570950075715,0.15448267522972642,0.9600107559926244,"[0.95857307 0.96916126 0.97249462 0.94515793 0.97238228 0.9581041
 0.95605791 0.9604714  0.94117647 0.93374806]"
43,0.13253696102084564,0.15469832091919103,0.9580900430239705,"[0.95464983 0.96950681 0.97315517 0.94128051 0.97022977 0.95796553
 0.9520221  0.96379526 0.9438607  0.91437126]"
44,0.1346145508233729,0.15680890910890694,0.9590119852489244,"[0.95230031 0.96827883 0.97484885 0.94259713 0.97240421 0.95739242
 0.95571213 0.96233475 0.94358974 0.92349727]"
45,0.13462160708598112,0.16291593007867,0.9582821143208359,"[0.94461453 0.9682166  0.97443935 0.94313794 0.97321072 0.95507277
 0.95281583 0.96766169 0.94188497 0.92114145]"
46,0.13514076095562444,0.1640810139463515,0.9579363859864782,"[0.95267781 0.9685905  0.97484277 0.94098996 0.96594912 0.95942519
 0.95687468 0.96146245 0.94420335 0.9138756 ]"
47,0.13488732923744648,0.1493405767916241,0.9604333128457283,"[0.95560011 0.9687683  0.97352835 0.94492255 0.97134899 0.95811184
 0.95729088 0.95984135 0.94942806 0.93566521]"
48,0.1346930792399325,0.1614702584905425,0.9579363859864782,"[0.95516459 0.96575077 0.97410455 0.94109322 0.9723336  0.95919226
 0.95569782 0.9569161  0.94564895 0.91767554]"
49,0.13487886100662072,0.16301101460805612,0.9572833435771358,"[0.94903737 0.96847068 0.97409201 0.93540884 0.96821323 0.95441238
 0.9593537  0.96384941 0.9419775  0.91921331]"
50,0.1356181978661909,0.1541665919587593,0.9595497848801475,"[0.95924225 0.96809659 0.97309038 0.94323295 0.96845426 0.95677841
 0.95866092 0.9602188  0.94247392 0.93517069]"
51,0.13274197255570666,0.16147877678925374,0.9582052858020897,"[0.95407577 0.96996968 0.97260274 0.93927557 0.97292994 0.95797254
 0.9457861  0.96205027 0.9430496  0.92519926]"
52,0.1338105973960847,0.155747212758076,0.9600491702519975,"[0.95072788 0.97000098 0.97346419 0.94423144 0.9724698  0.956283
 0.95343569 0.96532801 0.94774775 0.93329216]"
53,0.1342630373737089,0.15529808711624615,0.9601644130301168,"[0.95904437 0.96988011 0.97450838 0.94184839 0.97110978 0.95828922
 0.95880718 0.95992034 0.94859241 0.92672545]"
54,0.13383931441102812,0.15408288102686296,0.9599723417332514,"[0.95897436 0.97115479 0.97124371 0.94131987 0.97287595 0.95553691
 0.95539128 0.96154813 0.95059109 0.9296467 ]"
55,0.13579701873820088,0.1526763767791659,0.960279655808236,"[0.95339471 0.97040956 0.97234912 0.94391054 0.97366321 0.95917508
 0.95381526 0.96360917 0.95087932 0.92841913]"
56,0.13275915203176888,0.15889384540298196,0.9584741856177013,"[0.95701357 0.96493798 0.97433414 0.94192186 0.96910891 0.95827155
 0.95658758 0.96061815 0.94492928 0.92589204]"
57,0.13301755372402665,0.1498255493381526,0.9602412415488629,"[0.95694326 0.96953017 0.97405575 0.94273281 0.97303727 0.95701884
 0.95639022 0.96322068 0.94794189 0.9291578 ]"
58,0.13473277271867104,0.15050861880998342,0.9600491702519975,"[0.95883362 0.9681182  0.97301835 0.94549303 0.97233831 0.95721812
 0.9560412  0.96056267 0.94688923 0.9306198 ]"
59,0.13500368942536348,0.15299951375336757,0.9601644130301168,"[0.95776256 0.96850931 0.97531607 0.9447983  0.97298371 0.9538397
 0.95447724 0.96172129 0.94512744 0.9340796 ]"
60,0.13073078747089426,0.15709621153803932,0.9593961278426552,"[0.95709382 0.96765974 0.97354497 0.94076533 0.97292994 0.95710966
 0.95781015 0.95978016 0.95056112 0.92574559]"
61,0.13311380565065584,0.15291253508932398,0.959319299323909,"[0.95817923 0.96954861 0.97088774 0.94430908 0.97141723 0.95696417
 0.9546371  0.95886313 0.946851   0.92870313]"
62,0.13131962821416635,0.15927816316549515,0.9582052858020897,"[0.95428894 0.9670308  0.97331731 0.93809277 0.96938163 0.95679932
 0.95402299 0.96158674 0.94848485 0.92789199]"
63,0.1325921959186366,0.1616523142746056,0.9578979717271051,"[0.95053401 0.96911273 0.97363034 0.94105038 0.96944609 0.95517386
 0.95469337 0.96213808 0.93910936 0.92345527]"
64,0.1322702050029486,0.15390839239498846,0.960279655808236,"[0.95570163 0.97010228 0.97273273 0.94405594 0.97156492 0.95892142
 0.95816532 0.96398199 0.94272076 0.93186004]"
65,0.13004682138371,0.15520181461536744,0.9596650276582668,"[0.95542857 0.96968512 0.97200097 0.943152   0.97241516 0.95712194
 0.95457967 0.96358682 0.94435905 0.9308642 ]"
66,0.13269100104737136,0.1613018632063341,0.9582437000614629,"[0.95427435 0.96666339 0.97338495 0.93853966 0.97030879 0.95743342
 0.95494588 0.9618929  0.94883439 0.92420091]"
67,0.13055355665796664,0.15558130557854336,0.959818684695759,"[0.95597484 0.96901793 0.97313504 0.94571176 0.97231013 0.95855249
 0.95561755 0.95950617 0.95132471 0.92180313]"
68,0.13327884127307843,0.15443513609729959,0.959780270436386,"[0.95565662 0.96885745 0.97384597 0.94142043 0.97212266 0.95615336
 0.95725191 0.96237229 0.9503632  0.9286365 ]"
69,0.13164639656690952,0.15922735071870983,0.9580132145052244,"[0.94857462 0.96869173 0.97312215 0.94053675 0.97017893 0.95489826
 0.9516129  0.96632577 0.94295405 0.92511556]"
