Epoch,Train Loss,Test Loss,Test Accuracy,Test F1 Score
1,0.14494600115154987,0.15510024776030848,0.959319299323909,"[0.95597484 0.97016381 0.9758045  0.94076411 0.97011952 0.95822785
 0.95746835 0.96372279 0.94400487 0.91778774]"
2,0.14415124450611969,0.16853532688285797,0.9570528580208973,"[0.9523269  0.96925186 0.97577519 0.9358156  0.97124727 0.95472731
 0.95326168 0.9625     0.94063927 0.91055456]"
3,0.14231048905441784,0.16246802546427377,0.9577827289489859,"[0.95791001 0.96810067 0.97514248 0.93658024 0.96863287 0.95781217
 0.95424837 0.95665172 0.94287432 0.92293744]"
4,0.14732173887042327,0.16698075137624876,0.9567071296865396,"[0.95475372 0.96767855 0.97359855 0.9382716  0.96770359 0.95481419
 0.94937021 0.9606533  0.93945847 0.92105263]"
5,0.1456822439535838,0.16771054413506203,0.9552473878303627,"[0.95516459 0.96706557 0.97228916 0.93375394 0.96315171 0.9573701
 0.94713328 0.95996021 0.94444444 0.91314837]"
6,0.1421291227961044,0.16469852443951621,0.9568992009834051,"[0.95165394 0.96610169 0.97335917 0.93762013 0.96952909 0.95586381
 0.95195195 0.9604576  0.94402421 0.92279412]"
7,0.14428934538437801,0.1593932186933973,0.9582437000614629,"[0.95706568 0.96843968 0.97205493 0.93968905 0.96940612 0.95356167
 0.95266868 0.95981919 0.94110577 0.9374017 ]"
8,0.1437377222449347,0.16449120510930507,0.9559772587584512,"[0.95068027 0.96625676 0.9747432  0.93660604 0.97100874 0.95308538
 0.94890873 0.95806611 0.94388224 0.91561181]"
9,0.14469408595721617,0.16367873834525065,0.9574370006146281,"[0.95168127 0.96624804 0.97092532 0.94451295 0.96938574 0.95750106
 0.95211833 0.95757277 0.94441124 0.92489872]"
10,0.141976125915699,0.15364354229277458,0.9588583282114321,"[0.95642202 0.96904177 0.97090647 0.94234729 0.96934713 0.95478667
 0.95509586 0.9591133  0.94548758 0.93550407]"
11,0.1442771046229501,0.1605547654460234,0.957859557467732,"[0.95627322 0.96709109 0.97135291 0.94247246 0.97128041 0.95674409
 0.95365239 0.95611208 0.94390832 0.92610539]"
12,0.1466753993058837,0.16197641747737487,0.9572833435771358,"[0.95501139 0.96710008 0.96862698 0.94411457 0.96842105 0.9578528
 0.95432753 0.95789995 0.94001237 0.92496925]"
13,0.1437640473742283,0.1575237014173509,0.9579748002458512,"[0.95970277 0.96782999 0.97241961 0.93989837 0.96931301 0.9576753
 0.95652174 0.95488722 0.94504145 0.92167577]"
14,0.14252895990856151,0.15696816331378946,0.9596266133988937,"[0.95904437 0.96774194 0.9734684  0.94431917 0.97124852 0.95659648
 0.95557248 0.95479384 0.94496241 0.9382793 ]"
15,0.14667718372527616,0.16434103097553698,0.956399815611555,"[0.9574893  0.96639401 0.97250151 0.9404741  0.96411672 0.9554194
 0.95081149 0.95802469 0.9445122  0.91812161]"
16,0.14294451811539327,0.15956156580870914,0.9577827289489859,"[0.95642332 0.96672883 0.97044989 0.94204898 0.96925503 0.95794393
 0.95221328 0.96119403 0.94396552 0.9249845 ]"
17,0.14575473121896068,0.16367171611465153,0.9571296865396435,"[0.95430334 0.96507191 0.9705635  0.94285714 0.9652723  0.95819257
 0.95568498 0.9593985  0.94305514 0.92455759]"
18,0.14191546203285813,0.17581975199946173,0.9557083589428396,"[0.95507205 0.96878068 0.97200339 0.93345164 0.96766515 0.95728321
 0.94954014 0.96157635 0.9430303  0.90648342]"
19,0.14359183524226582,0.1668745578514537,0.9569376152427781,"[0.95563719 0.96793803 0.97242625 0.93158355 0.96826035 0.95556959
 0.95715726 0.96188566 0.94989371 0.91531532]"
20,0.14420894475047785,0.1664371209055387,0.9554010448678549,"[0.95152704 0.96524487 0.97092258 0.93956235 0.96803473 0.95395563
 0.94989879 0.95334988 0.93951739 0.92421899]"
21,0.14356126251721268,0.16077868134635098,0.9588583282114321,"[0.9573136  0.97018167 0.96758818 0.94266176 0.96900296 0.95917072
 0.95579268 0.96184341 0.94906004 0.92496172]"
