Epoch,Train Loss,Test Loss,Test Accuracy,Test F1 Score
1,0.13243520608989043,0.1644507534366923,0.9573217578365089,"[0.9572162  0.96719224 0.97218863 0.94385167 0.96894164 0.95448799
 0.9473156  0.95958344 0.9367166  0.92872438]"
2,0.12431513368995939,0.16369910709921684,0.957360172095882,"[0.95756195 0.96620161 0.97226242 0.94416244 0.96945656 0.95646661
 0.94571713 0.95952616 0.93667788 0.92973305]"
3,0.12272041242719242,0.16083354071542832,0.9586278426551936,"[0.95821408 0.96748286 0.97178683 0.94555575 0.97079277 0.9574963
 0.94884654 0.95922427 0.93992718 0.93382579]"
4,0.12181355302282117,0.16317533379272955,0.9572449293177627,"[0.95821408 0.9668952  0.9713667  0.94351575 0.96912114 0.95584196
 0.94393222 0.95934556 0.93778731 0.93088685]"
5,0.12096985896227865,0.16214697400466313,0.9572449293177627,"[0.95769011 0.96641535 0.97089247 0.9450202  0.97095105 0.95631891
 0.94304111 0.96003971 0.93532642 0.93096042]"
6,0.11752730407521418,0.16278831478947867,0.9573985863552551,"[0.95659623 0.96683023 0.97339593 0.94299789 0.96948078 0.95791922
 0.94579066 0.95992083 0.93675527 0.92579075]"
7,0.11596954910027066,0.16190848913050607,0.957859557467732,"[0.95704125 0.96598905 0.97353474 0.94429893 0.96962478 0.95622753
 0.94808468 0.96099379 0.93702464 0.9305598 ]"
8,0.11596426383615466,0.16123548528315762,0.957821143208359,"[0.95781072 0.96572719 0.97219882 0.94382415 0.97006938 0.95628183
 0.94887218 0.95944609 0.93710119 0.93415385]"
9,0.11539229792301652,0.16284882240615597,0.9574754148740012,"[0.957988   0.96676145 0.97192433 0.94403638 0.97090837 0.95666878
 0.94390426 0.96190005 0.93423896 0.92942255]"
10,0.11611054083380348,0.16249440271079943,0.9577059004302397,"[0.95654644 0.96703297 0.97219213 0.94637224 0.97062326 0.95652174
 0.94530085 0.96013951 0.93474962 0.92974311]"
11,0.11243260648023103,0.1603967074417013,0.9585510141364475,"[0.9559534  0.96721151 0.97272508 0.94582314 0.97241516 0.95654008
 0.94691824 0.95926932 0.93820396 0.93560372]"
12,0.11277002990597718,0.16107836534219352,0.9582437000614629,"[0.95590327 0.96748286 0.97147671 0.94617267 0.97035573 0.95751427
 0.94763343 0.96089664 0.93607998 0.93341592]"
13,0.11157404523884577,0.16232379901405486,0.958320528580209,"[0.95662036 0.96821036 0.97287523 0.94547361 0.97102025 0.95795479
 0.94673367 0.96033713 0.93528694 0.93051729]"
14,0.10999488190213326,0.1639271504403113,0.957821143208359,"[0.95751354 0.96724848 0.9723025  0.94512839 0.97108911 0.95635593
 0.94692038 0.96019778 0.93405929 0.92993239]"
15,0.10931374041648192,0.1637958594596159,0.9581284572833436,"[0.95634807 0.96824001 0.97323366 0.94416244 0.97200715 0.9573339
 0.94476381 0.96272366 0.93426659 0.92883436]"
16,0.10986517105803147,0.16181085316421945,0.9584357713583282,"[0.95704125 0.96717939 0.97238635 0.94659686 0.97218911 0.95857234
 0.94641509 0.95926932 0.93664747 0.93206271]"
17,0.1072047174457758,0.16399496302842068,0.9578979717271051,"[0.95842825 0.96715364 0.97286868 0.94492044 0.97222222 0.95768091
 0.94523631 0.95893122 0.93410616 0.92936118]"
18,0.10924888713185682,0.16000168754981936,0.9589351567301783,"[0.95977175 0.96822759 0.97285559 0.94571478 0.97200715 0.95863233
 0.94818913 0.95837463 0.93571862 0.93399442]"
19,0.10804645058565453,0.16051242906730748,0.958819913952059,"[0.96002284 0.96784314 0.97279075 0.94552461 0.97187005 0.95824547
 0.95012594 0.95893122 0.93575758 0.93127889]"
20,0.10729886324581708,0.1605875999486439,0.9590119852489244,"[0.9569161  0.96726132 0.973181   0.94665272 0.97197376 0.95873016
 0.95031526 0.95842669 0.93719807 0.93473554]"
21,0.10708459553419376,0.16366823048736687,0.9585125998770744,"[0.95899772 0.96729064 0.97311634 0.94500876 0.9715415  0.9574199
 0.947078   0.96003947 0.93690948 0.93243656]"
22,0.10771641000101076,0.16184422481386077,0.9589351567301783,"[0.96043268 0.96812788 0.9732852  0.94581799 0.97089685 0.95729387
 0.94671003 0.96164316 0.93771095 0.93165798]"
23,0.10469030012209848,0.16484777723251856,0.9580516287645974,"[0.95788275 0.96797642 0.97153153 0.94495091 0.97096261 0.95692568
 0.94578313 0.95966345 0.93668585 0.93202092]"
24,0.10546769383013625,0.16129788708745443,0.9588583282114321,"[0.95910781 0.96747012 0.97276452 0.9455368  0.9699842  0.95791922
 0.94671003 0.96089664 0.93866341 0.93630179]"
25,0.10500711118654067,0.16443934632303822,0.9582821143208359,"[0.95909091 0.96734974 0.97327233 0.94466889 0.97010493 0.95611814
 0.94773869 0.96089664 0.93649347 0.93117161]"
26,0.10555103861851904,0.16267461749165793,0.9584357713583282,"[0.95694326 0.96731388 0.97285559 0.9455117  0.97033645 0.95663211
 0.94721041 0.96009913 0.93891265 0.93358048]"
27,0.10443190155593782,0.16420054949989477,0.9587046711739398,"[0.95924765 0.96771669 0.97335744 0.94445418 0.96935933 0.956485
 0.94842767 0.96299975 0.9373297  0.93325168]"
28,0.10345256442105541,0.16378788586841014,0.958358942839582,"[0.95995423 0.96762203 0.97280385 0.94443471 0.97006938 0.95670539
 0.94739479 0.96147154 0.93633871 0.93111931]"
29,0.1023002647719102,0.1648263493856185,0.9585894283958205,"[0.95845191 0.96848081 0.97339593 0.94468832 0.97113484 0.95573356
 0.94615577 0.96203796 0.93797739 0.93067485]"
30,0.10130517797703435,0.1636901666589434,0.9579748002458512,"[0.95706568 0.96739984 0.97314871 0.94533987 0.96993671 0.95426765
 0.94447224 0.9612326  0.93666261 0.93370336]"
31,0.10228670621577483,0.16439402218823354,0.9581668715427166,"[0.95679363 0.96734334 0.97359219 0.94273281 0.97120159 0.95711253
 0.94818913 0.96171059 0.93725371 0.92933619]"
32,0.10068551345367807,0.16296144779119012,0.9587430854333129,"[0.96082356 0.96760895 0.97338952 0.94418198 0.97099722 0.95736598
 0.94844845 0.96171059 0.93668585 0.93145655]"
33,0.10113723290217672,0.1642457705034606,0.958358942839582,"[0.96103152 0.96767875 0.97363669 0.94377299 0.97003374 0.9573339
 0.94676617 0.96099379 0.93584676 0.93014706]"
