Epoch,Train Loss,Test Loss,Test Accuracy,Test F1 Score
1,0.13977787057496047,0.17406545034721357,0.9562461585740627,"[0.94902844 0.96624556 0.97401651 0.93157895 0.9715415  0.95600677
 0.95470559 0.96255889 0.94241152 0.91676719]"
2,0.1415393522139766,0.16897298411890344,0.9565534726490473,"[0.95330296 0.96587098 0.97264875 0.94016795 0.96390244 0.95731968
 0.95596844 0.9582505  0.94188137 0.9196319 ]"
3,0.14070513989541283,0.15860397744060625,0.9581284572833436,"[0.9533239  0.96883575 0.96949315 0.94385538 0.97180564 0.95164972
 0.95384615 0.96011964 0.9417122  0.93312203]"
4,0.1404835451996157,0.16686791702463866,0.9573985863552551,"[0.95547257 0.96786241 0.97380437 0.93637961 0.97354287 0.95418243
 0.9551266  0.9560659  0.94424242 0.91978287]"
5,0.1395636333893901,0.16902488766131624,0.9544406883835279,"[0.95008413 0.96582291 0.97072937 0.93586109 0.96442533 0.95465092
 0.95238095 0.9578373  0.93866341 0.91284543]"
6,0.1403740266396242,0.15983294317591534,0.9582821143208359,"[0.95567629 0.9674852  0.97301855 0.94188306 0.97315436 0.95677717
 0.95438419 0.9541698  0.94124847 0.92887799]"
7,0.13868931732776962,0.17114950195367012,0.9560156730178242,"[0.95652174 0.96898771 0.96748064 0.93647977 0.97203356 0.95620594
 0.95703026 0.95488722 0.93539744 0.91583105]"
8,0.13885896370228404,0.16971728908151076,0.9560925015365703,"[0.95354802 0.96793232 0.97283654 0.93314367 0.96955318 0.95447871
 0.9581749  0.95984233 0.94649446 0.90428062]"
9,0.13847274683855357,0.1580638760024225,0.9584741856177013,"[0.95473954 0.96762203 0.97133911 0.94211438 0.96913336 0.95598554
 0.95489493 0.96019778 0.94482967 0.93287968]"
10,0.13801705730093694,0.16855443061570413,0.9558236017209588,"[0.95330296 0.96758986 0.96911887 0.93657316 0.97270373 0.95509171
 0.95295597 0.95587135 0.94234832 0.91368421]"
